x,y,d,s
8,10,7,X
8,11,6,X
8,13,6,X
9,10,6,X
9,12,6,X
1,4,7,X
1,5,7,X
1,6,5,X
1,7,6,X
1,8,5,X
1,10,5,X
1,11,6,X
1,12,5,X
1,14,5,X
1,15,7,X
1,18,5,X
1,20,5,X
1,22,7,X
1,24,7,X
1,26,7,X
1,27,7,X
1,28,7,X
1,30,7,X
1,32,7,X
2,3,6,X
10,11,6,X
1,34,7,X
2,4,6,X
1,35,7,X
2,5,4,X
1,36,7,X
2,6,5,X
2,7,4,X
1,38,7,X
2,9,5,X
1,40,7,X
2,10,5,X
2,11,6,X
1,42,7,X
2,12,7,X
2,13,6,X
1,44,7,X
2,14,7,X
2,15,7,X
2,16,7,X
2,17,6,X
1,48,7,X
2,18,7,X
2,19,6,X
1,50,7,X
2,20,7,X
2,21,7,X
2,22,7,X
1,54,7,X
2,24,7,X
2,25,7,X
1,56,7,X
2,27,7,X
2,28,7,X
1,60,7,X
2,30,7,X
2,34,7,X
3,4,4,X
2,35,7,X
3,5,6,X
3,6,4,X
1,68,7,X
3,8,6,X
1,70,7,X
2,39,7,X
3,9,6,X
2,40,7,X
3,10,6,X
2,42,7,X
3,12,6,X
2,44,7,X
2,45,7,X
3,14,7,X
3,16,6,X
1,78,7,X
3,18,6,X
1,80,7,X
2,49,7,X
3,20,7,X
2,52,7,X
1,84,7,X
2,54,7,X
2,55,7,X
1,88,7,X
3,26,7,X
1,90,7,X
3,28,7,X
3,30,7,X
4,5,4,X
3,36,7,X
1,98,7,X
4,6,7,X
4,7,6,X
4,8,6,X
4,9,6,X
4,10,7,X
4,11,6,X
1,104,7,X
4,12,7,X
4,14,7,X
4,15,6,X
1,108,7,X
4,17,6,X
1,110,7,X
4,20,7,X
4,21,7,X
4,22,7,X
4,26,7,X
4,27,7,X
5,6,6,X
5,7,6,X
5,8,6,X
5,10,6,X
5,12,7,X
5,14,6,X
5,16,6,X
5,18,7,X
5,22,7,X
6,7,6,X
6,8,7,X
6,9,6,X
6,10,7,X
6,13,6,X
6,14,7,X
6,15,6,X
6,18,7,X
7,8,6,X
7,10,7,X
7,12,6,X
7,14,6,X
