x,y,s
16,17,X
16,18,X
16,19,X
16,20,X
16,21,X
16,22,X
16,23,X
1,2,1
17,18,X
1,3,1
17,19,X
1,4,1
17,20,X
1,5,1
17,21,X
1,6,3
17,22,X
1,7,1
17,23,X
1,8,3
1,9,1
1,10,X
1,11,1
1,12,X
1,13,1
1,14,X
1,15,X
1,16,X
1,17,1
1,18,X
1,19,1
1,20,X
1,21,X
1,22,X
1,23,1
2,3,2
18,19,X
2,4,2
18,20,X
2,5,X
18,21,X
2,6,X
18,22,X
2,7,X
18,23,X
2,8,X
2,9,X
2,10,X
2,11,X
2,12,X
2,13,X
2,14,X
2,15,X
2,16,X
2,17,X
2,18,X
2,19,X
2,20,X
2,21,X
2,22,X
2,23,X
3,4,X
19,20,X
3,5,X
19,21,X
3,6,X
19,22,X
3,7,X
19,23,X
3,8,X
3,9,X
3,10,X
3,11,X
3,12,X
3,13,X
3,14,X
3,15,X
3,16,X
3,17,X
3,18,X
3,19,X
3,20,X
3,21,X
3,22,X
3,23,X
4,5,X
20,21,X
4,6,X
20,22,X
4,7,X
20,23,X
4,8,X
4,9,X
4,10,X
4,11,X
4,12,X
4,13,X
4,14,X
4,15,X
4,16,X
4,17,X
4,18,X
4,19,X
4,20,X
4,21,X
4,22,X
4,23,X
5,6,X
21,22,X
5,7,X
21,23,X
5,8,X
5,9,X
5,10,X
5,11,X
5,12,X
5,13,X
5,14,X
5,15,X
5,16,X
5,17,X
5,18,X
5,19,X
5,20,X
5,21,X
5,22,X
5,23,X
6,7,X
22,23,X
6,8,X
6,9,X
6,10,X
6,11,X
6,12,X
6,13,X
6,14,X
6,15,X
6,16,X
6,17,X
6,18,X
6,19,X
6,20,X
6,21,X
6,22,X
6,23,X
7,8,X
7,9,X
7,10,X
7,11,X
7,12,X
7,13,X
7,14,X
7,15,X
7,16,X
7,17,X
7,18,X
7,19,X
7,20,X
7,21,X
7,22,X
7,23,X
8,9,X
8,10,X
8,11,X
8,12,X
8,13,X
8,14,X
8,15,X
8,16,X
8,17,X
8,18,X
8,19,X
8,20,X
8,21,X
8,22,X
8,23,X
9,10,X
9,11,X
9,12,X
9,13,X
9,14,X
9,15,X
9,16,X
9,17,X
9,18,X
9,19,X
9,20,X
9,21,X
9,22,X
9,23,X
10,11,X
10,12,X
10,13,X
10,14,X
10,15,X
10,16,X
10,17,X
10,18,X
10,19,X
10,20,X
10,21,X
10,22,X
10,23,X
11,12,X
11,13,X
11,14,X
11,15,X
11,16,X
11,17,X
11,18,X
11,19,X
11,20,X
11,21,X
11,22,X
11,23,X
12,13,X
12,14,X
12,15,X
12,16,X
12,17,X
12,18,X
12,19,X
12,20,X
12,21,X
12,22,X
12,23,X
13,14,X
13,15,X
13,16,X
13,17,X
13,18,X
13,19,X
13,20,X
13,21,X
13,22,X
13,23,X
14,15,X
14,16,X
14,17,X
14,18,X
14,19,X
14,20,X
14,21,X
14,22,X
14,23,X
15,16,X
15,17,X
15,18,X
15,19,X
15,20,X
15,21,X
15,22,X
15,23,X
